TAIR10,TAIR10 description,LF - Bo,,MF1 - Bo,MF2 - Bo
AT1G03190,UVH6 (ULTRAVIOLET HYPERSENSITIVE 6); ATP binding / ATP-dependent DNA helicase/ ATP-dependent helicase/ DNA binding / hydrolase acting on acid anhydrides in phosphorus-containing anhydrides / nucleic acid binding,na ,,na ,na 
AT1G03200,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03210,phenazine biosynthesis PhzC/PhzF family protein,Bo5g003680,,-,-
AT1G03220,extracellular dermal glycoprotein putative / EDGP putative,-,,Bo8g001330,Bo8g116090
AT1G03230,extracellular dermal glycoprotein putative / EDGP putative,na ,,na ,na 
AT1G03240,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03250,unknown protein,Bo5g003690,,-,-
AT1G03260,LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: SNARE associated Golgi protein (InterPro:IPR015414); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G19070.1); Has 3432 Blast hits to 3432 proteins in 730 species: Archae - 8; Bacteria - 1831; Metazoa - 239; Fungi - 87; Plants - 162; Viruses - 0; Other Eukaryotes - 1105 (source: NCBI BLink).,-,,-,Bo8g116080
AT1G03270,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF21 (InterPro:IPR002550) Cystathionine beta-synthase core (InterPro:IPR000644); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G14240.1); Has 6515 Blast hits to 6357 proteins in 1347 species: Archae - 64; Bacteria - 4189; Metazoa - 291; Fungi - 188; Plants - 123; Viruses - 0; Other Eukaryotes - 1660 (source: NCBI BLink).,na ,,na ,na 
AT1G03280,transcription initiation factor IIE (TFIIE) alpha subunit family protein / general transcription factor TFIIE family protein,na ,,na ,na 
AT1G03290,unknown protein,na ,,na ,na 
AT1G03300,agenet domain-containing protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03310,isoamylase putative / starch debranching enzyme putative,Bo5g003740,,Bo8g001360,-
AT1G03320,unknown protein,Bo5g003750,,-,-
AT1G03330,small nuclear ribonucleoprotein D putative / snRNP core SM-like protein putative / U6 snRNA-associated Sm-like protein putative,Bo5g003760,,Bo8g001370,-
AT1G03340,unknown protein,Bo5g003770,,-,-
AT1G03350,BSD domain-containing protein,Bo5g003780,,Bo8g001380,-
AT1G03360,ATRRP4 (ARABIDOPSIS THALIANA RIBOSOMAL RNA PROCESSING 4); RNA binding / exonuclease,Bo5g003790,,Bo8g001410,-
AT1G03370,protein binding / zinc ion binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03380,AtATG18g,Bo5g003810,,-,-
AT1G03390,transferase family protein,Bo5g003820,,-,-
AT1G03400,2-oxoglutarate-dependent dioxygenase putative,Bo5g003830;Bo5g003850,,-,-
AT1G03410,2A6; oxidoreductase,na ,,na ,na 
AT1G03420,transposable element gene,na ,,na ,na 
AT1G03430,AHP5 (HISTIDINE-CONTAINING PHOSPHOTRANSFER FACTOR 5); histidine phosphotransfer kinase,Bo5g003860,,-,-
AT1G03440,leucine-rich repeat family protein,Bo5g003870,,Bo8g001420,-
AT1G03445,BSU1 (BRI1 SUPPRESSOR 1); protein serine/threonine phosphatase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03457,RNA-binding protein putative,Bo5g003880,,-,-
AT1G03470,kinase interacting family protein,Bo5g003890,,-,Bo8g116060
AT1G03475,LIN2 (LESION INITIATION 2); coproporphyrinogen oxidase,Bo5g003900,,-,Bo8g116050
AT1G03490,ANAC006 (Arabidopsis NAC domain containing protein 6); transcription factor,-,,-,-
AT1G03495,transferase/ transferase transferring acyl groups other than amino-acyl groups,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G03502,snoRNA,na ,,na ,na 
AT1G03506,snoRNA,na ,,na ,na 
AT1G03510,pentatricopeptide (PPR) repeat-containing protein,na ,,na ,na 
AT1G03515,pre-tRNA,na ,,na ,na 
AT1G03520,glycosyltransferase family 14 protein / core-2/I-branching enzyme family protein,na ,,na ,na 
AT1G03530,NAF1 (NUCLEAR ASSEMBLY FACTOR 1),na ,,na ,na 
AT1G03540,pentatricopeptide (PPR) repeat-containing protein,na ,,na ,na 
AT1G03550,secretory carrier membrane protein (SCAMP) family protein,Bo5g003930,,Bo8g002500,Bo8g116040
AT1G03560,pentatricopeptide (PPR) repeat-containing protein,Bo5g003940,,-,-
AT1G03570,pre-tRNA,na ,,na ,na 
AT1G03580,pseudogene meprin and TRAF homology (MATH) domain protein -related weak similarity to ubiquitin-specific protease 12 (Arabidopsis thaliana) GI:11993471; contains weak hit to Pfam PF00917: MATH domain,na ,,na ,na 
AT1G03590,catalytic/ protein serine/threonine phosphatase,Bo5g003950,,Bo8g002510,-
AT1G03600,photosystem II family protein,Bo5g003960,,Bo8g002520,-
AT1G03610,unknown protein,Bo5g003970,,Bo8g002530,-
AT1G03620,phagocytosis and cell motility protein ELMO1-related,Bo5g003980,,Bo8g002550,-
AT1G03630,POR C (PROTOCHLOROPHYLLIDE OXIDOREDUCTASE); NADPH dehydrogenase/ oxidoreductase/ protochlorophyllide reductase,Bo5g003990,,Bo8g002560,-
AT1G03640,pre-tRNA,na ,,na ,na 
AT1G03650,GCN5-related N-acetyltransferase (GNAT) family protein,-,,-,Bo8g116030
AT1G03660,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 4 anthesis F mature embryo stage C globular stage petal differentiation and expansion stage E expanded cotyledon stage; BEST Arabidopsis thaliana protein match is: ankyrin repeat family protein (TAIR:AT1G03670.1); Has 53 Blast hits to 53 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 53; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,na ,,na ,na 
AT1G03670,ankyrin repeat family protein,Bo5g004060,,-,-
AT1G03680,ATHM1; enzyme activator,na ,,na ,na 
AT1G03687,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: DTW (InterPro:IPR005636); Has 347 Blast hits to 347 proteins in 176 species: Archae - 0; Bacteria - 320; Metazoa - 0; Fungi - 0; Plants - 10; Viruses - 0; Other Eukaryotes - 17 (source: NCBI BLink).,-,,-,Bo8g115990
AT1G03700,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: hypocotyl flower; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0497 trans-membrane plant (InterPro:IPR006702) Uncharacterised protein family UPF0497 trans-membrane plant subgroup (InterPro:IPR006459); BEST Arabidopsis thaliana protein match is: integral membrane family protein (TAIR:AT4G03540.1); Has 260 Blast hits to 260 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 260; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).,Bo5g004000;Bo5g004010,,-,-
AT1G03710,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Cystatin-related plant (InterPro:IPR006525); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G17110.1); Has 51 Blast hits to 49 proteins in 5 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 46; Viruses - 0; Other Eukaryotes - 3 (source: NCBI BLink).,Bo5g004020,,-,-
AT1G03720,cathepsin-related,-,,-,-
AT1G03730,unknown protein,-,,-,Bo8g115980
AT1G03740,ATP binding / kinase/ protein kinase/ protein serine/threonine kinase/ protein tyrosine kinase,na ,,na ,na 
AT1G03743,snoRNA,na ,,na ,na 
AT1G03746,snoRNA,na ,,na ,na 
AT1G03750,SWI2 (SWITCH 2); ATP binding / DNA binding / helicase/ nucleic acid binding,na ,,na ,na 
AT1G03760,prefoldin subunit family protein,Bo5g004040,,Bo8g002600,-
AT1G03770,RING1B (RING 1B); protein binding / zinc ion binding,Bo5g004050,,-,-
AT1G03780,targeting protein-related,na ,,na ,na 
AT1G03790,SOM (SOMNUS); nucleic acid binding / transcription factor,Bo5g004080,,Bo8g002610,-
AT1G03800,ERF10 (ERF DOMAIN PROTEIN 10); DNA binding / transcription factor/ transcription repressor,Bo5g004090,,-,-
AT1G03810,DNA-binding protein-related,Bo5g004100,,-,-
AT1G03820,unknown protein,Bo5g004110,,Bo8g002620,-
AT1G03830,guanylate-binding family protein,-,,Bo8g002630,-
AT1G03840,MGP (Magpie); nucleic acid binding / protein binding / transcription factor/ zinc ion binding,na ,,na ,na 
AT1G03850,glutaredoxin family protein,Bo5g004150,,-,Bo8g115890
AT1G03860,ATPHB2 (PROHIBITIN 2),Bo5g004160,,Bo8g002640,Bo8g115880
AT1G03870,FLA9 (FASCICLIN-LIKE ARABINOOGALACTAN 9),Bo5g004170,,-,-
AT1G03880,CRU2 (CRUCIFERIN 2); nutrient reservoir,Bo5g004180,,-,Bo8g115850;Bo8g115840
AT1G03890,cupin family protein,na ,,na ,na 
AT1G03900,ATNAP4 (Arabidopsis thaliana non-intrinsic ABC protein 4); ATPase coupled to transmembrane movement of substances / transporter,na ,,na ,na 
AT1G03905,ABC transporter family protein,-,,Bo8g002670,-
AT1G03910,EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cactin central region (InterPro:IPR018816); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G36815.2); Has 11516 Blast hits to 6722 proteins in 356 species: Archae - 23; Bacteria - 259; Metazoa - 6122; Fungi - 1009; Plants - 493; Viruses - 33; Other Eukaryotes - 3577 (source: NCBI BLink).,na ,,na ,na 
AT1G03920,protein kinase putative,Bo5g004210,,-,-
AT1G03930,ADK1 (dual specificity kinase 1); kinase/ protein serine/threonine/tyrosine kinase,-,,-,Bo8g115820
AT1G03935,snoRNA,na ,,na ,na 
AT1G03940,transferase family protein,-,,Bo8g002690,-
AT1G03950,VPS2.3 (VACUOLAR PROTEIN SORTING-ASSOCIATED PROTEIN 2.3),Bo5g004220,,Bo8g002710,-
AT1G03960,calcium-binding EF hand family protein,-,,Bo8g002720,-
AT1G03970,GBF4; DNA binding / sequence-specific DNA binding / transcription factor,Bo5g004230,,-,-
AT1G03980,ATPCS2 (phytochelatin synthase 2); glutathione gamma-glutamylcysteinyltransferase,-,,-,Bo8g115810
AT1G03982,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: PAK-box/P21-Rho-binding (InterPro:IPR000095); BEST Arabidopsis thaliana protein match is: RIC6 (ROP-INTERACTIVE CRIB MOTIF-CONTAINING PROTEIN 6) (TAIR:AT2G20430.1); Has 96 Blast hits to 96 proteins in 15 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 0; Plants - 86; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink).,Bo5g004240,,-,Bo8g115800
AT1G03990,alcohol oxidase-related,Bo5g004250,,-,-
AT1G04000,unknown protein,Bo5g004260,,-,Bo8g115790
AT1G04010,phosphatidate-sterol O-acyltransferase/ phosphatidylcholine-sterol O-acyltransferase/ phosphatidylethanolamine-sterol O-acyltransferase,Bo5g004270,,-,Bo8g115780
AT1G04020,BARD1 (BREAST CANCER ASSOCIATED RING 1); DNA binding / transcription coactivator,na ,,na ,na 
AT1G04030,unknown protein,na ,,na ,na 
AT1G04040,acid phosphatase class B family protein,-,,Bo8g002730,-
AT1G04050,SUVR1 (ARABIDOPSIS HOMOLOG OF SU(VAR)3-9 1); histone-lysine N-methyltransferase/ zinc ion binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G04070,TOM22-I (TRANSLOCASE OF OUTER MEMBRANE 22-I); P-P-bond-hydrolysis-driven protein transmembrane transporter,Bo5g004280,,-,-
AT1G04080,PRP39; binding,Bo5g004290,,Bo8g002740,-
AT1G04090,unknown protein,Bo5g004300,,-,-
AT1G04100,IAA10; transcription factor,Bo5g004310,,-,-
AT1G04110,SDD1 (STOMATAL DENSITY AND DISTRIBUTION); serine-type endopeptidase,Bo5g004320,,-,-
AT1G04120,ATMRP5; ATPase coupled to transmembrane movement of substances / sulfonylurea receptor,Bo5g004330,,-,-
AT1G04130,tetratricopeptide repeat (TPR)-containing protein,-,,-,Bo8g115750
AT1G04140,transducin family protein / WD-40 repeat family protein,-,,Bo8g002750,Bo8g115740
AT1G04150,C2 domain-containing protein,-,,-,Bo8g115730
AT1G04160,XIB (MYOSIN XI B); motor,-,,-,Bo8g115720
AT1G04170,EIF2 GAMMA; translation factor nucleic acid binding / translation initiation factor,Bo5g004340,,Bo8g002760,Bo8g115710
AT1G04171,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G04180,flavin-containing monooxygenase family protein / FMO family protein,Bo5g004350,,-,Bo8g115700
AT1G04190,tetratricopeptide repeat (TPR)-containing protein,na ,,na ,na 
AT1G04200,unknown protein,na ,,na ,na 
AT1G04210,leucine-rich repeat family protein / protein kinase family protein,na ,,na ,na 
AT1G04220,KCS2 (3-KETOACYL-COA SYNTHASE 2); fatty acid elongase,Bo5g004380,,Bo8g002790,-
AT1G04230,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G04240,SHY2 (SHORT HYPOCOTYL 2); transcription factor,-,,Bo8g002800,Bo8g115680
AT1G04250,AXR3 (AUXIN RESISTANT 3); transcription factor,na ,,na ,na 
AT1G04260,MPI7 (CAMV MOVEMENT PROTEIN INTERACTING PROTEIN 7); protein binding,na ,,na ,na 
AT1G04270,RPS15 (CYTOSOLIC RIBOSOMAL PROTEIN S15); structural constituent of ribosome,na ,,na ,na 
AT1G04280,unknown protein,Bo5g004430,,Bo8g002830,-
AT1G04290,thioesterase family protein,Bo5g004440,,Bo8g002840,-
AT1G04295,other RNA,na ,,na ,na 
AT1G04300,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: TRAF-like (InterPro:IPR008974) MATH (InterPro:IPR002083); BEST Arabidopsis thaliana protein match is: meprin and TRAF homology domain-containing protein / MATH domain-containing protein (TAIR:AT5G43560.2); Has 15485 Blast hits to 9800 proteins in 673 species: Archae - 16; Bacteria - 1225; Metazoa - 5601; Fungi - 1994; Plants - 616; Viruses - 101; Other Eukaryotes - 5932 (source: NCBI BLink).,na ,,na ,na 
AT1G04310,ERS2 (ETHYLENE RESPONSE SENSOR 2); ethylene binding / glycogen synthase kinase 3/ protein histidine kinase/ receptor,na ,,na ,na 
AT1G04320,pre-tRNA,na ,,na ,na 
AT1G04330,unknown protein,Bo5g004470,,-,-
AT1G04340,lesion inducing protein-related,Bo5g004480,,Bo8g002870,-
AT1G04350,2-oxoglutarate-dependent dioxygenase putative,Bo5g004490,,Bo8g002890,Bo8g115600
AT1G04360,zinc finger (C3HC4-type RING finger) family protein,Bo5g004510,,-,Bo8g115590
AT1G04370,ATERF14 (Ethylene-responsive element binding factor 14); DNA binding / transcription factor,Bo5g004520,,-,Bo8g115580
AT1G04380,2-oxoglutarate-dependent dioxygenase putative,na ,,na ,na 
AT1G04390,protein binding,Bo5g004550,,-,-
AT1G04400,CRY2 (CRYPTOCHROME 2); blue light photoreceptor/ protein homodimerization,Bo5g004560,,Bo8g002920,-
AT1G04410,malate dehydrogenase cytosolic putative,Bo5g004570,,Bo8g002940,-
AT1G04420,aldo/keto reductase family protein,Bo5g004580,,-,-
AT1G04425,other RNA,na ,,na ,na 
AT1G04430,dehydration-responsive protein-related,Bo5g004590,,Bo8g002970,-
AT1G04440,CKL13 (CASEIN KINASE LIKE 13); ATP binding / kinase/ protein kinase/ protein serine/threonine kinase,na ,,na ,na 
AT1G04445,zinc finger (C2H2 type) family protein,na ,,na ,na 
AT1G04450,RIC3 (ROP-INTERACTIVE CRIB MOTIF-CONTAINING PROTEIN 3); protein binding,-,,Bo8g002990,Bo8g115540
AT1G04457,Pseudogene of AT2G33450; 50S ribosomal protein L28 chloroplast (CL28),na ,,na ,na 
AT1G04470,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: male gametophyte pollen tube; EXPRESSED DURING: L mature pollen stage M germinated pollen stage; CONTAINS InterPro DOMAIN/s: Munc13 homology 1 (InterPro:IPR014770) Protein of unknown function DUF810 (InterPro:IPR008528) Munc13 homology 2 (InterPro:IPR014772); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G33420.1); Has 116 Blast hits to 109 proteins in 23 species: Archae - 0; Bacteria - 1; Metazoa - 4; Fungi - 4; Plants - 95; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink).,Bo5g004610,,-,Bo8g115530
AT1G04480,60S ribosomal protein L23 (RPL23A),Bo5g004620,,Bo8g003000,Bo8g115520
AT1G04490,unknown protein,-,,-,-
AT1G04500,zinc finger CONSTANS-related,Bo5g004630,,Bo8g003010,-
AT1G04501,unknown protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G04510,transducin family protein / WD-40 repeat family protein,na ,,na ,na 
AT1G04520,PDLP2 (PLASMODESMATA-LOCATED PROTEIN 2),Bo5g004650,,-,-
AT1G04530,binding,Bo5g004660,,-,Bo8g115500
AT1G04540,C2 domain-containing protein,Bo5g004670,,-,Bo8g115490
AT1G04550,IAA12 (AUXIN-INDUCED PROTEIN 12); transcription factor/ transcription repressor,na ,,na ,na 
AT1G04555,unknown protein,na ,,na ,na 
AT1G04560,AWPM-19-like membrane family protein,-,,-,-
AT1G04570,integral membrane transporter family protein,Bo5g004700,,-,-
AT1G04580,AAO4 (ARABIDOPSIS ALDEHYDE OXIDASE 4); aldehyde oxidase/ aryl-aldehyde oxidase,Bo5g004710,,-,-
AT1G04590,FUNCTIONS IN: molecular_function unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: pentatricopeptide (PPR) repeat-containing protein (TAIR:AT4G18975.3); Has 54 Blast hits to 54 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 52; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,Bo5g004720,,-,Bo8g115470
AT1G04600,XIA (MYOSIN XI A); motor/ protein binding,-,,Bo8g003050,-
AT1G04610,flavin-containing monooxygenase / FMO (YUCCA3),Bo5g004740,,-,Bo8g115460
AT1G04620,coenzyme F420 hydrogenase family / dehydrogenase beta subunit family,Bo5g004750,,-,-
AT1G04625,nucleic acid binding,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G04630,MEE4 (maternal effect embryo arrest 4),Bo5g004760,,Bo8g003060,Bo8g115450
AT1G04635,EMB1687 (EMBRYO DEFECTIVE 1687); ribonuclease P/ ribonuclease,na ,,na ,na 
AT1G04640,LIP2 (LIPOYLTRANSFERASE 2); lipoyltransferase,na ,,na ,na 
AT1G04645,self-incompatibility protein-related,na ,,na ,na 
AT1G04650,unknown protein,na ,,na ,na 
AT1G04660,glycine-rich protein,Bo5g004790,,Bo8g004160,Bo8g115430
AT1G04670,unknown protein,Bo5g004800,,-,Bo8g115420
AT1G04680,pectate lyase family protein,Bo5g004810,,Bo8g004170,Bo8g115410
AT1G04684,unknown protein,-,,-,-
AT1G04690,KAB1 (POTASSIUM CHANNEL BETA SUBUNIT); oxidoreductase/ potassium channel,Bo5g004820,,Bo8g004180,-
AT1G04700,protein kinase family protein,Bo5g004830,,-,-
AT1G04710,PKT4 (PEROXISOMAL 3-KETOACYL-COA THIOLASE 4); acetyl-CoA C-acyltransferase/ catalytic,-,,Bo8g004200,-
AT1G04720,pre-tRNA,na ,,na ,na 
AT1G04730,AAA-type ATPase family protein,Bo5g004840;Bo5g004850,,Bo8g004220,-
AT1G04750,VAMP721 (VESICLE-ASSOCIATED MEMBRANE PROTEIN 721),Bo5g004860,,Bo8g004230,Bo8g115400
AT1G04760,ATVAMP726,na ,,na ,na 
AT1G04770,male sterility MS5 family protein,Bo5g004870,,Bo8g004250,-
AT1G04778,unknown protein,-,,-,-
AT1G04780,ankyrin repeat family protein,na ,,na ,na 
AT1G04790,zinc finger (C3HC4-type RING finger) family protein,Bo5g004910,,-,-
AT1G04800,glycine-rich protein,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G04810,26S proteasome regulatory subunit putative,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G04820,TUA4; structural constituent of cytoskeleton,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
AT1G04830,RabGAP/TBC domain-containing protein,na ,,na ,na 
AT1G04840,pentatricopeptide (PPR) repeat-containing protein,Bo5g004940;Bo5g004950,,-,-
AT1G04850,ubiquitin-associated (UBA)/TS-N domain-containing protein,na ,,na ,na 
AT1G04860,UBP2 (UBIQUITIN-SPECIFIC PROTEASE 2); ubiquitin-specific protease,na ,,na ,na 
AT1G04870,PRMT10; [myelin basic protein]-arginine N-methyltransferase/ histone-arginine N-methyltransferase/ methyltransferase/ protein-arginine omega-N asymmetric methyltransferase/ protein-arginine omega-N monomethyltransferase,no At orthologs in Brassicas  ,,no At orthologs in Brassicas  ,no At orthologs in Brassicas  
